firstname,surname,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_month,age,age_get_prize
Edwin M.,McMillan,US,US,male,1951,chemistry,2,University of California,Berkeley CA,USA,Sep,84,44
Glenn T.,Seaborg,US,US,male,1951,chemistry,2,University of California,Berkeley CA,USA,Apr,87,39
Archer J.P.,Martin,GB,GB,male,1952,chemistry,2,National Institute for Medical Research,London,United Kingdom,Mar,92,42
Richard L.M.,Synge,GB,GB,male,1952,chemistry,2,Rowett Research Institute,Bucksburn (Scotland),United Kingdom,Oct,80,38
Hermann,Staudinger,DE,DE,male,1953,chemistry,1,University of Freiburg,Breisgau,Germany,Mar,84,72
Linus,Pauling,US,US,male,1962,peace,1,California Institute of Technology (Caltech),Pasadena CA,USA,Feb,93,61
Linus,Pauling,US,US,male,1954,chemistry,1,California Institute of Technology (Caltech),Pasadena CA,USA,Feb,93,53
Vincent,du Vigneaud,US,US,male,1955,chemistry,1,Cornell University,Ithaca NY,USA,May,77,54
Sir Cyril,Hinshelwood,GB,GB,male,1956,chemistry,2,University of Oxford,Oxford,United Kingdom,May,70,59
Nikolay,Semenov,RU,RU,male,1956,chemistry,2,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,USSR (now Russia),Apr,90,60
Lord,Todd,GB,GB,male,1957,chemistry,1,University of Cambridge,Cambridge,United Kingdom,Oct,90,50
Frederick,Sanger,GB,GB,male,1958,chemistry,1,University of Cambridge,Cambridge,United Kingdom,Aug,95,40
Frederick,Sanger,GB,GB,male,1980,chemistry,4,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Aug,95,62
Jaroslav,Heyrovsky,CZ,CZ,male,1959,chemistry,1,Polarographic Institute of the Czechoslovak Academy of Science,Prague,Czechoslovakia (now Czech Republic),Dec,77,69
Willard F.,Libby,US,US,male,1960,chemistry,1,University of California,Los Angeles CA,USA,Dec,72,52
Melvin,Calvin,US,US,male,1961,chemistry,1,University of California,Berkeley CA,USA,Apr,86,50
Max F.,Perutz,AT,GB,male,1962,chemistry,2,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,May,88,48
John C.,Kendrew,GB,GB,male,1962,chemistry,2,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Mar,80,45
Karl,Ziegler,DE,DE,male,1963,chemistry,2,Max-Planck-Institut für Kohlenforschung (Max-Planck-Institute for Carbon Research),Mülheim/Ruhr,Germany,Nov,75,65
Giulio,Natta,IT,IT,male,1963,chemistry,2,Institute of Technology,Milan,Italy,Feb,76,60
Dorothy Crowfoot,Hodgkin,EG,GB,female,1964,chemistry,1,University of Oxford Royal Society,Oxford,United Kingdom,May,84,54
Robert B.,Woodward,US,US,male,1965,chemistry,1,Harvard University,Cambridge MA,USA,Apr,62,48
Robert S.,Mulliken,US,US,male,1966,chemistry,1,University of Chicago,Chicago IL,USA,Jun,90,70
Manfred,Eigen,DE,DE,male,1967,chemistry,2,Max-Planck-Institut für Physikalische Chemie,Göttingen,Germany,May,92,40
Ronald G.W.,Norrish,GB,GB,male,1967,chemistry,4,Institute of Physical Chemistry,Cambridge,United Kingdom,Nov,81,70
George,Porter,GB,GB,male,1967,chemistry,4,Royal Institution of Great Britain,London,United Kingdom,Dec,82,47
Lars,Onsager,NO,US,male,1968,chemistry,1,Yale University,New Haven CT,USA,Nov,73,65
Derek,Barton,GB,US,male,1969,chemistry,2,Imperial College,London,United Kingdom,Sep,80,51
Odd,Hassel,NO,NO,male,1969,chemistry,2,University of Oslo,Oslo,Norway,May,84,72
Luis,Leloir,FR,AR,male,1970,chemistry,1,Institute for Biochemical Research,Buenos Aires,Argentina,Sep,81,64
Gerhard,Herzberg,DE,CA,male,1971,chemistry,1,National Research Council of Canada,Ottawa,Canada,Dec,95,67
Christian,Anfinsen,US,US,male,1972,chemistry,2,National Institutes of Health,Bethesda MD,USA,Mar,79,56
Stanford,Moore,US,US,male,1972,chemistry,4,Rockefeller University,New York NY,USA,Sep,69,59
William H.,Stein,US,US,male,1972,chemistry,4,Rockefeller University,New York NY,USA,Jun,69,61
Ernst Otto,Fischer,DE,DE,male,1973,chemistry,2,Technical University,Munich,Germany,Nov,89,55
Geoffrey,Wilkinson,GB,GB,male,1973,chemistry,2,Imperial College,London,United Kingdom,Jul,75,52
Paul J.,Flory,US,US,male,1974,chemistry,1,Stanford University,Stanford CA,USA,Jun,75,64
John,Cornforth,AU,,male,1975,chemistry,2,University of Sussex,Brighton,United Kingdom,Sep,96,58
Vladimir,Prelog,BA,CH,male,1975,chemistry,2,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,Jul,92,69
William,Lipscomb,US,US,male,1976,chemistry,1,Harvard University,Cambridge MA,USA,Dec,92,57
Ilya,Prigogine,RU,BE,male,1977,chemistry,1,Université Libre de Bruxelles,Brussels,Belgium,Jan,86,60
Peter,Mitchell,GB,GB,male,1978,chemistry,1,Glynn Research Laboratories,Bodmin,United Kingdom,Sep,72,58
Herbert C.,Brown,GB,US,male,1979,chemistry,2,Purdue University,West Lafayette IN,USA,May,92,67
Georg,Wittig,DE,DE,male,1979,chemistry,2,University of Heidelberg,Heidelberg,Germany,Jun,90,82
Paul,Berg,US,,male,1980,chemistry,2,Stanford University,Stanford CA,USA,Jun,94,54
Walter,Gilbert,US,,male,1980,chemistry,4,Harvard University Biological Laboratories,Cambridge MA,USA,Mar,88,48
Kenichi,Fukui,JP,JP,male,1981,chemistry,2,Kyoto University,Kyoto,Japan,Oct,80,63
Roald,Hoffmann,UA,,male,1981,chemistry,2,Cornell University,Ithaca NY,USA,Jul,83,44
Aaron,Klug,LT,,male,1982,chemistry,1,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Aug,92,56
Henry,Taube,CA,US,male,1983,chemistry,1,Stanford University,Stanford CA,USA,Nov,90,68
Bruce,Merrifield,US,US,male,1984,chemistry,1,Rockefeller University,New York NY,USA,Jul,85,63
Herbert A.,Hauptman,US,US,male,1985,chemistry,2,The Medical Foundation of Buffalo,Buffalo NY,USA,Feb,94,68
Jerome,Karle,US,,male,1985,chemistry,2,US Naval Research Laboratory,Washington DC,USA,Jun,95,67
Dudley R.,Herschbach,US,,male,1986,chemistry,3,Harvard University,Cambridge MA,USA,Jun,88,54
Yuan T.,Lee,TW,,male,1986,chemistry,3,University of California,Berkeley CA,USA,Nov,84,50
John C.,Polanyi,DE,,male,1986,chemistry,3,University of Toronto,Toronto,Canada,Jan,91,57
Donald J.,Cram,US,US,male,1987,chemistry,3,University of California,Los Angeles CA,USA,Apr,82,68
Jean-Marie,Lehn,FR,,male,1987,chemistry,3,Université Louis Pasteur,Strasbourg,France,Sep,81,48
Charles J.,Pedersen,KR,US,male,1987,chemistry,3,Du Pont,Wilmington DE,USA,Oct,85,83
Johann,Deisenhofer,DE,,male,1988,chemistry,3,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,Sep,77,45
Robert,Huber,DE,,male,1988,chemistry,3,Max-Planck-Institut für Biochemie,Martinsried,Germany,Feb,83,51
Hartmut,Michel,DE,,male,1988,chemistry,3,Max-Planck-Institut für Biophysik,Frankfurt-on-the-Main,Germany,Jul,72,40
Sidney,Altman,CA,,male,1989,chemistry,2,Yale University,New Haven CT,USA,May,81,50
Thomas R.,Cech,US,,male,1989,chemistry,2,University of Colorado,Boulder CO,USA,Dec,73,42
Elias James,Corey,US,,male,1990,chemistry,1,Harvard University,Cambridge MA,USA,Jul,92,62
Richard R.,Ernst,CH,,male,1991,chemistry,1,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,Aug,87,58
Rudolph A.,Marcus,CA,,male,1992,chemistry,1,California Institute of Technology (Caltech),Pasadena CA,USA,Jul,97,69
Kary B.,Mullis,US,US,male,1993,chemistry,2,,,,Dec,75,49
Michael,Smith,GB,CA,male,1993,chemistry,2,University of British Columbia,Vancouver,Canada,Apr,68,61
George A.,Olah,HU,US,male,1994,chemistry,1,University of Southern California,Los Angeles CA,USA,May,90,67
Paul J.,Crutzen,NL,,male,1995,chemistry,3,Max-Planck-Institut für Chemie,Mainz,Germany,Dec,87,62
Mario J.,Molina,MX,,male,1995,chemistry,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Mar,77,52
F. Sherwood,Rowland,US,US,male,1995,chemistry,3,University of California,Irvine CA,USA,Jun,85,68
Robert F.,Curl Jr.,US,,male,1996,chemistry,3,Rice University,Houston TX,USA,Aug,87,63
Sir Harold,Kroto,GB,GB,male,1996,chemistry,3,University of Sussex,Brighton,United Kingdom,Oct,77,57
Richard E.,Smalley,US,US,male,1996,chemistry,3,Rice University,Houston TX,USA,Jun,62,53
Paul D.,Boyer,US,US,male,1997,chemistry,4,University of California,Los Angeles CA,USA,Jul,100,79
John E.,Walker,GB,,male,1997,chemistry,4,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Jan,79,56
Jens C.,Skou,DK,DK,male,1997,chemistry,2,Aarhus University,Aarhus,Denmark,Oct,100,79
Walter,Kohn,AT,US,male,1998,chemistry,2,University of California,Santa Barbara CA,USA,Mar,93,75
John,Pople,GB,US,male,1998,chemistry,2,Northwestern University,Evanston IL,USA,Oct,79,73
Ahmed,Zewail,EG,US,male,1999,chemistry,1,California Institute of Technology (Caltech),Pasadena CA,USA,Feb,70,53
Emil,von Behring,PL,DE,male,1901,medicine,1,Marburg University,Marburg,Germany,Mar,63,47
Ronald,Ross,IN,GB,male,1902,medicine,1,University College,Liverpool,United Kingdom,May,75,45
Niels Ryberg,Finsen,DK,DK,male,1903,medicine,1,Finsen Medical Light Institute,Copenhagen,Denmark,Dec,44,43
Ivan,Pavlov,RU,RU,male,1904,medicine,1,Military Medical Academy,St. Petersburg,Russia,Sep,87,55
Robert,Koch,DE,DE,male,1905,medicine,1,Institute for Infectious Diseases,Berlin,Germany,Dec,67,62
Camillo,Golgi,IT,IT,male,1906,medicine,2,Pavia University,Pavia,Italy,Jul,83,63
Santiago,Ramón y Cajal,ES,ES,male,1906,medicine,2,Madrid University,Madrid,Spain,May,82,54
Alphonse,Laveran,FR,FR,male,1907,medicine,1,Institut Pasteur,Paris,France,Jun,77,62
Ilya,Mechnikov,UA,FR,male,1908,medicine,2,Institut Pasteur,Paris,France,May,71,63
Paul,Ehrlich,PL,DE,male,1908,medicine,2,Goettingen University,Göttingen,Germany,Mar,61,54
Theodor,Kocher,CH,CH,male,1909,medicine,1,Berne University,Bern,Switzerland,Aug,76,68
Albrecht,Kossel,DE,DE,male,1910,medicine,1,University of Heidelberg,Heidelberg,Germany,Sep,74,57
Allvar,Gullstrand,SE,SE,male,1911,medicine,1,Uppsala University,Uppsala,Sweden,Jun,68,49
Alexis,Carrel,FR,FR,male,1912,medicine,1,Rockefeller Institute for Medical Research,New York NY,USA,Jun,71,39
Charles,Richet,FR,FR,male,1913,medicine,1,Sorbonne University,Paris,France,Aug,85,63
Robert,Bárány,AT,SE,male,1914,medicine,1,Vienna University,Vienna,Austria,Apr,60,38
Jules,Bordet,BE,BE,male,1919,medicine,1,Brussels University,Brussels,Belgium,Jun,91,49
August,Krogh,DK,DK,male,1920,medicine,1,Copenhagen University,Copenhagen,Denmark,Nov,75,46
Archibald V.,Hill,GB,GB,male,1922,medicine,2,London University,London,United Kingdom,Sep,91,36
Otto,Meyerhof,DE,US,male,1922,medicine,2,Kiel University,Kiel,Germany,Apr,67,38
Frederick G.,Banting,CA,CA,male,1923,medicine,2,University of Toronto,Toronto,Canada,Nov,50,32
John,Macleod,GB,GB,male,1923,medicine,2,University of Toronto,Toronto,Canada,Sep,59,47
Willem,Einthoven,ID,NL,male,1924,medicine,1,Leiden University,Leiden,the Netherlands,May,67,64
Johannes,Fibiger,DK,DK,male,1926,medicine,1,Copenhagen University,Copenhagen,Denmark,Apr,61,59
Julius,Wagner-Jauregg,AT,AT,male,1927,medicine,1,Vienna University,Vienna,Austria,Mar,83,70
Charles,Nicolle,FR,TN,male,1928,medicine,1,Institut Pasteur,Tunis,Tunisia,Sep,70,62
Christiaan,Eijkman,NL,NL,male,1929,medicine,2,Utrecht University,Utrecht,the Netherlands,Aug,72,71
Sir Frederick,Hopkins,GB,GB,male,1929,medicine,2,University of Cambridge,Cambridge,United Kingdom,Jun,86,68
Karl,Landsteiner,AT,US,male,1930,medicine,1,Rockefeller Institute for Medical Research,New York NY,USA,Jun,75,62
Otto,Warburg,DE,DE,male,1931,medicine,1,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biologie,Berlin-Dahlem,Germany,Oct,87,48
Sir Charles,Sherrington,GB,GB,male,1932,medicine,2,University of Oxford,Oxford,United Kingdom,Nov,95,75
Edgar,Adrian,GB,GB,male,1932,medicine,2,University of Cambridge,Cambridge,United Kingdom,Nov,88,43
Thomas H.,Morgan,US,US,male,1933,medicine,1,California Institute of Technology (Caltech),Pasadena CA,USA,Sep,79,67
George H.,Whipple,US,US,male,1934,medicine,3,University of Rochester,Rochester NY,USA,Aug,98,56
George R.,Minot,US,US,male,1934,medicine,3,Harvard University,Cambridge MA,USA,Dec,65,49
William P.,Murphy,US,US,male,1934,medicine,3,Harvard University,Cambridge MA,USA,Feb,95,42
Hans,Spemann,DE,DE,male,1935,medicine,1,University of Freiburg im Breisgau,Breisgau,Germany,Jun,72,66
Sir Henry,Dale,GB,GB,male,1936,medicine,2,National Institute for Medical Research,London,United Kingdom,Jun,93,61
Otto,Loewi,DE,US,male,1936,medicine,2,Graz University,Graz,Austria,Jun,88,63
Albert,Szent-Györgyi,HU,US,male,1937,medicine,1,Szeged University,Szeged,Hungary,Sep,93,44
Corneille,Heymans,BE,BE,male,1938,medicine,1,Ghent University,Ghent,Belgium,Mar,76,46
Gerhard,Domagk,PL,DE,male,1939,medicine,1,Munster University,Munster,Germany,Oct,69,44
Henrik,Dam,DK,DK,male,1943,medicine,2,Polytechnic Institute,Copenhagen,Denmark,Feb,81,48
Edward A.,Doisy,US,US,male,1943,medicine,2,Saint Louis University,St. Louis MO,USA,Nov,93,50
Joseph,Erlanger,US,US,male,1944,medicine,2,Washington University,St. Louis MO,USA,Jan,91,70
Herbert S.,Gasser,US,US,male,1944,medicine,2,Rockefeller Institute for Medical Research,New York NY,USA,Jul,75,56
Sir Alexander,Fleming,GB,GB,male,1945,medicine,3,London University,London,United Kingdom,Aug,74,64
Ernst B.,Chain,DE,IE,male,1945,medicine,3,University of Oxford,Oxford,United Kingdom,Jun,73,39
Sir Howard,Florey,AU,GB,male,1945,medicine,3,University of Oxford,Oxford,United Kingdom,Sep,70,47
Hermann J.,Muller,US,US,male,1946,medicine,1,Indiana University,Bloomington IN,USA,Dec,77,56
Carl,Cori,CZ,US,male,1947,medicine,4,Washington University,St. Louis MO,USA,Dec,88,51
Gerty,Cori,CZ,US,female,1947,medicine,4,Washington University,St. Louis MO,USA,Aug,61,51
Bernardo,Houssay,AR,AR,male,1947,medicine,2,Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Buenos Aires,Argentina,Apr,84,60
Paul,Müller,CH,CH,male,1948,medicine,1,Laboratorium der Farben-Fabriken J.R. Geigy A.G. (Laboratory of the J.R. Geigy Dye-Factory Co.),Basel,Switzerland,Jan,66,49
Walter,Hess,CH,CH,male,1949,medicine,2,University of Zurich,Zurich,Switzerland,Mar,92,68
Egas,Moniz,PT,PT,male,1949,medicine,2,University of Lisbon,Lisbon,Portugal,Nov,81,75
Edward C.,Kendall,US,US,male,1950,medicine,3,Mayo Clinic,Rochester MN,USA,Mar,86,64
Tadeus,Reichstein,PL,CH,male,1950,medicine,3,Basel University,Basel,Switzerland,Jul,99,53
Philip S.,Hench,US,JM,male,1950,medicine,3,Mayo Clinic,Rochester MN,USA,Feb,69,54
Max,Theiler,ZA,US,male,1951,medicine,1,Laboratories of the Division of Medicine and Public Health Rockefeller Foundation,New York NY,USA,Jan,73,52
Selman A.,Waksman,UA,US,male,1952,medicine,1,Rutgers University,New Brunswick NJ,USA,Jul,85,64
Hans,Krebs,DE,GB,male,1953,medicine,2,Sheffield University,Sheffield,United Kingdom,Aug,81,53
Fritz,Lipmann,RU,US,male,1953,medicine,2,Harvard Medical School,Boston MA,USA,Jun,87,54
John F.,Enders,US,US,male,1954,medicine,3,Harvard Medical School,Boston MA,USA,Feb,88,57
Thomas H.,Weller,US,US,male,1954,medicine,3,Research Division of Infectious Diseases Children's Medical Center,Boston MA,USA,Jun,93,39
Frederick C.,Robbins,US,US,male,1954,medicine,3,Western Reserve University,Cleveland OH,USA,Aug,87,38
Hugo,Theorell,SE,SE,male,1955,medicine,1,Karolinska Institutet Nobel Medical Institute,Stockholm,Sweden,Jul,79,52
André F.,Cournand,FR,US,male,1956,medicine,3,Columbia University Division Cardio-Pulmonary Laboratory Bellevue Hospital,New York NY,USA,Sep,93,61
Werner,Forssmann,DE,DE,male,1956,medicine,3,Mainz University,Mainz,Germany,Aug,75,52
Dickinson W.,Richards,US,US,male,1956,medicine,3,Columbia University,New York NY,USA,Oct,78,61
Daniel,Bovet,CH,IT,male,1957,medicine,1,Istituto Superiore di Sanità (Chief Institute of Public Health),Rome,Italy,Mar,85,50
George,Beadle,US,US,male,1958,medicine,4,California Institute of Technology (Caltech),Pasadena CA,USA,Oct,86,55
Edward,Tatum,US,US,male,1958,medicine,4,Rockefeller Institute for Medical Research,New York NY,USA,Dec,66,49
Joshua,Lederberg,US,US,male,1958,medicine,2,University of Wisconsin,Madison WI,USA,May,83,33
Severo,Ochoa,ES,ES,male,1959,medicine,2,New York University College of Medicine,New York NY,USA,Sep,88,54
Arthur,Kornberg,US,US,male,1959,medicine,2,Stanford University,Stanford CA,USA,Mar,89,41
Sir Frank Macfarlane,Burnet,AU,AU,male,1960,medicine,2,Walter and Eliza Hall Institute for Medical Research,Melbourne,Australia,Sep,86,61
Peter,Medawar,BR,GB,male,1960,medicine,2,University College,London,United Kingdom,Feb,72,45
Georg,von Békésy,HU,US,male,1961,medicine,1,Harvard University,Cambridge MA,USA,Jun,73,62
Francis,Crick,GB,US,male,1962,medicine,3,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Jun,88,46
James,Watson,US,,male,1962,medicine,3,Harvard University,Cambridge MA,USA,Apr,92,34
Maurice,Wilkins,NZ,GB,male,1962,medicine,3,London University,London,United Kingdom,Dec,88,46
Sir John,Eccles,AU,CH,male,1963,medicine,3,Australian National University,Canberra,Australia,Jan,94,60
Alan,Hodgkin,GB,GB,male,1963,medicine,3,University of Cambridge,Cambridge,United Kingdom,Feb,84,49
Andrew,Huxley,GB,GB,male,1963,medicine,3,University College,London,United Kingdom,Nov,95,46
Konrad,Bloch,PL,US,male,1964,medicine,2,Harvard University,Cambridge MA,USA,Jan,88,52
Feodor,Lynen,DE,DE,male,1964,medicine,2,Max-Planck-Institut für Zellchemie,Munich,Germany,Apr,68,53
François,Jacob,FR,FR,male,1965,medicine,3,Institut Pasteur,Paris,France,Jun,93,45
André,Lwoff,FR,FR,male,1965,medicine,3,Institut Pasteur,Paris,France,May,92,63
Jacques,Monod,FR,FR,male,1965,medicine,3,Institut Pasteur,Paris,France,Feb,66,55
Peyton,Rous,US,US,male,1966,medicine,2,Rockefeller University,New York NY,USA,Oct,91,87
Charles B.,Huggins,CA,US,male,1966,medicine,2,University of Chicago Ben May Laboratory for Cancer Research,Chicago IL,USA,Sep,96,65
Ragnar,Granit,FI,SE,male,1967,medicine,3,Karolinska Institutet,Stockholm,Sweden,Oct,91,67
Keffer,Hartline,US,US,male,1967,medicine,3,Rockefeller University,New York NY,USA,Dec,80,64
George,Wald,US,US,male,1967,medicine,3,Harvard University,Cambridge MA,USA,Nov,91,61
Robert W.,Holley,US,US,male,1968,medicine,3,Cornell University,Ithaca NY,USA,Jan,71,46
H. Gobind,Khorana,IN,US,male,1968,medicine,3,University of Wisconsin,Madison WI,USA,Jan,89,46
Marshall W.,Nirenberg,US,US,male,1968,medicine,3,National Institutes of Health,Bethesda MD,USA,Apr,83,41
Max,Delbrück,DE,US,male,1969,medicine,3,California Institute of Technology (Caltech),Pasadena CA,USA,Sep,75,63
Alfred D.,Hershey,US,US,male,1969,medicine,3,Carnegie Institution of Washington,Long Island New York NY,USA,Dec,89,61
Salvador E.,Luria,IT,US,male,1969,medicine,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Aug,79,57
Sir Bernard,Katz,DE,GB,male,1970,medicine,3,University College,London,United Kingdom,Mar,92,59
Ulf,von Euler,SE,SE,male,1970,medicine,3,Karolinska Institutet,Stockholm,Sweden,Feb,78,65
Julius,Axelrod,US,US,male,1970,medicine,3,National Institutes of Health,Bethesda MD,USA,May,92,58
Earl W.,Sutherland Jr.,US,US,male,1971,medicine,1,Vanderbilt University,Nashville TN,USA,Nov,59,56
Gerald M.,Edelman,US,US,male,1972,medicine,2,Rockefeller University,New York NY,USA,Jul,85,43
Rodney R.,Porter,GB,GB,male,1972,medicine,2,University of Oxford,Oxford,United Kingdom,Oct,68,55
Karl,von Frisch,AT,DE,male,1973,medicine,3,Zoologisches Institut der Universität München,Munich,Germany,Nov,96,87
Konrad,Lorenz,AT,AT,male,1973,medicine,3,Konrad-Lorenz-Institut der Österreichischen Akademie der Wissen­schaften Forschungsstelle für Ethologie,Altenberg; Grünau im Almtal,Austria,Nov,86,70
Nikolaas,Tinbergen,NL,GB,male,1973,medicine,3,University of Oxford,Oxford,United Kingdom,Apr,81,66
Albert,Claude,BE,BE,male,1974,medicine,3,Université Catholique de Louvain,Louvain,Belgium,Aug,85,76
Christian,de Duve,GB,BE,male,1974,medicine,3,Rockefeller University,New York NY,USA,Oct,96,57
George E.,Palade,RO,US,male,1974,medicine,3,Yale University School of Medicine,New Haven CT,USA,Nov,96,62
David,Baltimore,US,,male,1975,medicine,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Mar,82,37
Renato,Dulbecco,IT,US,male,1975,medicine,3,Imperial Cancer Research Fund Laboratory,London,United Kingdom,Feb,98,61
Howard M.,Temin,US,US,male,1975,medicine,3,University of Wisconsin,Madison WI,USA,Dec,60,41
Baruch S.,Blumberg,US,US,male,1976,medicine,2,The Institute for Cancer Research,Philadelphia PA,USA,Jul,86,51
D. Carleton,Gajdusek,US,NO,male,1976,medicine,2,National Institutes of Health,Bethesda MD,USA,Sep,85,53
Roger,Guillemin,FR,,male,1977,medicine,4,The Salk Institute,San Diego CA,USA,Jan,96,53
Andrew V.,Schally,LT,,male,1977,medicine,4,Veterans Administration Hospital,New Orleans LA,USA,Nov,94,51
Rosalyn,Yalow,US,US,female,1977,medicine,2,Veterans Administration Hospital,Bronx NY,USA,Jul,90,56
