index,LOCATION,INDICATOR,SUBJECT,TIME,Value
0,AUS,PISAMATH,BOY,2003,527.0
1,AUS,PISAMATH,BOY,2006,527.0
2,AUS,PISAMATH,BOY,2009,519.0
3,AUS,PISAMATH,BOY,2012,510.115
4,AUS,PISAMATH,BOY,2015,497.0
5,AUS,PISAMATH,BOY,2018,494.0
6,AUS,PISAMATH,GIRL,2003,522.0
7,AUS,PISAMATH,GIRL,2006,513.0
8,AUS,PISAMATH,GIRL,2009,509.0
9,AUS,PISAMATH,GIRL,2012,497.821
10,AUS,PISAMATH,GIRL,2015,491.0
11,AUS,PISAMATH,GIRL,2018,488.0
12,AUT,PISAMATH,BOY,2003,509.0
13,AUT,PISAMATH,BOY,2006,517.0
14,AUT,PISAMATH,BOY,2012,516.682
15,AUT,PISAMATH,BOY,2015,510.0
16,AUT,PISAMATH,BOY,2018,505.0
17,AUT,PISAMATH,GIRL,2003,502.0
18,AUT,PISAMATH,GIRL,2006,494.0
19,AUT,PISAMATH,GIRL,2012,494.462
20,AUT,PISAMATH,GIRL,2015,483.0
21,AUT,PISAMATH,GIRL,2018,492.0
22,BEL,PISAMATH,BOY,2003,533.0
23,BEL,PISAMATH,BOY,2006,524.0
24,BEL,PISAMATH,BOY,2009,526.0
25,BEL,PISAMATH,BOY,2012,520.081
26,BEL,PISAMATH,BOY,2015,514.0
27,BEL,PISAMATH,BOY,2018,514.0
28,BEL,PISAMATH,GIRL,2003,525.0
29,BEL,PISAMATH,GIRL,2006,517.0
30,BEL,PISAMATH,GIRL,2009,504.0
31,BEL,PISAMATH,GIRL,2012,508.935
32,BEL,PISAMATH,GIRL,2015,500.0
33,BEL,PISAMATH,GIRL,2018,502.0
34,CAN,PISAMATH,BOY,2003,541.0
35,CAN,PISAMATH,BOY,2006,534.0
36,CAN,PISAMATH,BOY,2009,533.0
37,CAN,PISAMATH,BOY,2012,523.154
38,CAN,PISAMATH,BOY,2015,520.0
39,CAN,PISAMATH,BOY,2018,514.0
40,CAN,PISAMATH,GIRL,2003,530.0
41,CAN,PISAMATH,GIRL,2006,520.0
42,CAN,PISAMATH,GIRL,2009,521.0
43,CAN,PISAMATH,GIRL,2012,513.022
44,CAN,PISAMATH,GIRL,2015,511.0
45,CAN,PISAMATH,GIRL,2018,510.0
46,CZE,PISAMATH,BOY,2003,524.0
47,CZE,PISAMATH,BOY,2006,514.0
48,CZE,PISAMATH,BOY,2009,495.0
49,CZE,PISAMATH,BOY,2012,504.71
50,CZE,PISAMATH,BOY,2015,496.0
51,CZE,PISAMATH,BOY,2018,501.0
52,CZE,PISAMATH,GIRL,2003,509.0
53,CZE,PISAMATH,GIRL,2006,504.0
54,CZE,PISAMATH,GIRL,2009,490.0
55,CZE,PISAMATH,GIRL,2012,492.903
56,CZE,PISAMATH,GIRL,2015,489.0
57,CZE,PISAMATH,GIRL,2018,498.0
58,DNK,PISAMATH,BOY,2003,523.0
59,DNK,PISAMATH,BOY,2006,518.0
60,DNK,PISAMATH,BOY,2009,511.0
61,DNK,PISAMATH,BOY,2012,506.953
62,DNK,PISAMATH,BOY,2015,516.0
63,DNK,PISAMATH,BOY,2018,511.0
64,DNK,PISAMATH,GIRL,2003,506.0
65,DNK,PISAMATH,GIRL,2006,508.0
66,DNK,PISAMATH,GIRL,2009,495.0
67,DNK,PISAMATH,GIRL,2012,493.029
68,DNK,PISAMATH,GIRL,2015,506.0
69,DNK,PISAMATH,GIRL,2018,507.0
70,FIN,PISAMATH,BOY,2003,548.0
71,FIN,PISAMATH,BOY,2006,554.0
72,FIN,PISAMATH,BOY,2009,542.0
73,FIN,PISAMATH,BOY,2012,517.391
74,FIN,PISAMATH,BOY,2015,507.0
75,FIN,PISAMATH,BOY,2018,504.0
76,FIN,PISAMATH,GIRL,2003,541.0
77,FIN,PISAMATH,GIRL,2006,543.0
78,FIN,PISAMATH,GIRL,2009,539.0
79,FIN,PISAMATH,GIRL,2012,520.185
80,FIN,PISAMATH,GIRL,2015,515.0
81,FIN,PISAMATH,GIRL,2018,510.0
82,FRA,PISAMATH,BOY,2003,515.0
83,FRA,PISAMATH,BOY,2006,499.0
84,FRA,PISAMATH,BOY,2009,505.0
85,FRA,PISAMATH,BOY,2012,499.355
86,FRA,PISAMATH,BOY,2015,496.0
87,FRA,PISAMATH,BOY,2018,499.0
88,FRA,PISAMATH,GIRL,2003,507.0
89,FRA,PISAMATH,GIRL,2006,492.0
90,FRA,PISAMATH,GIRL,2009,489.0
91,FRA,PISAMATH,GIRL,2012,490.853
92,FRA,PISAMATH,GIRL,2015,490.0
93,FRA,PISAMATH,GIRL,2018,492.0
94,DEU,PISAMATH,BOY,2003,508.0
95,DEU,PISAMATH,BOY,2006,513.0
96,DEU,PISAMATH,BOY,2009,520.0
97,DEU,PISAMATH,BOY,2012,520.19
98,DEU,PISAMATH,BOY,2015,514.0
99,DEU,PISAMATH,BOY,2018,503.0
100,DEU,PISAMATH,GIRL,2003,499.0
101,DEU,PISAMATH,GIRL,2006,494.0
102,DEU,PISAMATH,GIRL,2009,505.0
103,DEU,PISAMATH,GIRL,2012,506.625
104,DEU,PISAMATH,GIRL,2015,498.0
105,DEU,PISAMATH,GIRL,2018,496.0
106,GRC,PISAMATH,BOY,2003,455.0
107,GRC,PISAMATH,BOY,2006,462.0
108,GRC,PISAMATH,BOY,2009,473.0
109,GRC,PISAMATH,BOY,2012,457.039
110,GRC,PISAMATH,BOY,2015,454.0
111,GRC,PISAMATH,BOY,2018,452.0
112,GRC,PISAMATH,GIRL,2003,436.0
113,GRC,PISAMATH,GIRL,2006,457.0
114,GRC,PISAMATH,GIRL,2009,459.0
115,GRC,PISAMATH,GIRL,2012,448.984
116,GRC,PISAMATH,GIRL,2015,454.0
117,GRC,PISAMATH,GIRL,2018,451.0
118,HUN,PISAMATH,BOY,2003,494.0
119,HUN,PISAMATH,BOY,2006,496.0
120,HUN,PISAMATH,BOY,2009,496.0
121,HUN,PISAMATH,BOY,2012,481.749
122,HUN,PISAMATH,BOY,2015,481.0
123,HUN,PISAMATH,BOY,2018,486.0
124,HUN,PISAMATH,GIRL,2003,486.0
125,HUN,PISAMATH,GIRL,2006,486.0
126,HUN,PISAMATH,GIRL,2009,484.0
127,HUN,PISAMATH,GIRL,2012,472.664
128,HUN,PISAMATH,GIRL,2015,473.0
129,HUN,PISAMATH,GIRL,2018,477.0
130,ISL,PISAMATH,BOY,2003,508.0
131,ISL,PISAMATH,BOY,2006,503.0
132,ISL,PISAMATH,BOY,2009,508.0
133,ISL,PISAMATH,BOY,2012,489.72
134,ISL,PISAMATH,BOY,2015,487.0
135,ISL,PISAMATH,BOY,2018,490.0
136,ISL,PISAMATH,GIRL,2003,523.0
137,ISL,PISAMATH,GIRL,2006,508.0
138,ISL,PISAMATH,GIRL,2009,505.0
139,ISL,PISAMATH,GIRL,2012,495.947
140,ISL,PISAMATH,GIRL,2015,489.0
141,ISL,PISAMATH,GIRL,2018,500.0
142,IRL,PISAMATH,BOY,2003,510.0
143,IRL,PISAMATH,BOY,2006,507.0
144,IRL,PISAMATH,BOY,2009,491.0
145,IRL,PISAMATH,BOY,2012,509.035
146,IRL,PISAMATH,BOY,2015,512.0
147,IRL,PISAMATH,BOY,2018,503.0
148,IRL,PISAMATH,GIRL,2003,495.0
149,IRL,PISAMATH,GIRL,2006,496.0
150,IRL,PISAMATH,GIRL,2009,483.0
151,IRL,PISAMATH,GIRL,2012,493.705
152,IRL,PISAMATH,GIRL,2015,495.0
153,IRL,PISAMATH,GIRL,2018,497.0
154,ITA,PISAMATH,BOY,2003,475.0
155,ITA,PISAMATH,BOY,2006,470.0
156,ITA,PISAMATH,BOY,2009,490.0
157,ITA,PISAMATH,BOY,2012,494.199
158,ITA,PISAMATH,BOY,2015,500.0
159,ITA,PISAMATH,BOY,2018,494.0
160,ITA,PISAMATH,GIRL,2003,457.0
161,ITA,PISAMATH,GIRL,2006,453.0
162,ITA,PISAMATH,GIRL,2009,475.0
163,ITA,PISAMATH,GIRL,2012,475.794
164,ITA,PISAMATH,GIRL,2015,480.0
165,ITA,PISAMATH,GIRL,2018,479.0
166,JPN,PISAMATH,BOY,2003,539.0
167,JPN,PISAMATH,BOY,2006,533.0
168,JPN,PISAMATH,BOY,2009,534.0
169,JPN,PISAMATH,BOY,2012,544.884
170,JPN,PISAMATH,BOY,2015,539.0
171,JPN,PISAMATH,BOY,2018,532.0
172,JPN,PISAMATH,GIRL,2003,530.0
173,JPN,PISAMATH,GIRL,2006,513.0
174,JPN,PISAMATH,GIRL,2009,524.0
175,JPN,PISAMATH,GIRL,2012,527.011
176,JPN,PISAMATH,GIRL,2015,525.0
177,JPN,PISAMATH,GIRL,2018,522.0
178,KOR,PISAMATH,BOY,2003,552.0
179,KOR,PISAMATH,BOY,2006,552.0
180,KOR,PISAMATH,BOY,2009,548.0
181,KOR,PISAMATH,BOY,2012,562.114
182,KOR,PISAMATH,BOY,2015,521.0
183,KOR,PISAMATH,BOY,2018,528.0
184,KOR,PISAMATH,GIRL,2003,528.0
185,KOR,PISAMATH,GIRL,2006,543.0
186,KOR,PISAMATH,GIRL,2009,544.0
187,KOR,PISAMATH,GIRL,2012,544.193
188,KOR,PISAMATH,GIRL,2015,528.0
189,KOR,PISAMATH,GIRL,2018,524.0
190,LUX,PISAMATH,BOY,2003,502.0
191,LUX,PISAMATH,BOY,2006,498.0
192,LUX,PISAMATH,BOY,2009,499.0
193,LUX,PISAMATH,BOY,2012,502.193
194,LUX,PISAMATH,BOY,2015,491.0
195,LUX,PISAMATH,BOY,2018,487.0
196,LUX,PISAMATH,GIRL,2003,485.0
197,LUX,PISAMATH,GIRL,2006,482.0
198,LUX,PISAMATH,GIRL,2009,479.0
199,LUX,PISAMATH,GIRL,2012,477.117
200,LUX,PISAMATH,GIRL,2015,480.0
201,LUX,PISAMATH,GIRL,2018,480.0
202,MEX,PISAMATH,BOY,2003,391.0
203,MEX,PISAMATH,BOY,2006,410.0
204,MEX,PISAMATH,BOY,2009,425.0
205,MEX,PISAMATH,BOY,2012,420.411
206,MEX,PISAMATH,BOY,2015,412.0
207,MEX,PISAMATH,BOY,2018,415.0
208,MEX,PISAMATH,GIRL,2003,380.0
209,MEX,PISAMATH,GIRL,2006,401.0
210,MEX,PISAMATH,GIRL,2009,412.0
211,MEX,PISAMATH,GIRL,2012,406.427
212,MEX,PISAMATH,GIRL,2015,404.0
213,MEX,PISAMATH,GIRL,2018,403.0
214,NLD,PISAMATH,BOY,2003,540.0
215,NLD,PISAMATH,BOY,2006,537.0
216,NLD,PISAMATH,BOY,2009,534.0
217,NLD,PISAMATH,BOY,2012,527.967
218,NLD,PISAMATH,BOY,2015,513.0
219,NLD,PISAMATH,BOY,2018,520.0
220,NLD,PISAMATH,GIRL,2003,535.0
221,NLD,PISAMATH,GIRL,2006,524.0
222,NLD,PISAMATH,GIRL,2009,517.0
223,NLD,PISAMATH,GIRL,2012,517.738
224,NLD,PISAMATH,GIRL,2015,511.0
225,NLD,PISAMATH,GIRL,2018,519.0
226,NZL,PISAMATH,BOY,2003,531.0
227,NZL,PISAMATH,BOY,2006,527.0
228,NZL,PISAMATH,BOY,2009,523.0
229,NZL,PISAMATH,BOY,2012,507.112
230,NZL,PISAMATH,BOY,2015,499.0
231,NZL,PISAMATH,BOY,2018,499.0
232,NZL,PISAMATH,GIRL,2003,516.0
233,NZL,PISAMATH,GIRL,2006,517.0
234,NZL,PISAMATH,GIRL,2009,515.0
235,NZL,PISAMATH,GIRL,2012,492.057
236,NZL,PISAMATH,GIRL,2015,491.0
237,NZL,PISAMATH,GIRL,2018,490.0
238,NOR,PISAMATH,BOY,2003,498.0
239,NOR,PISAMATH,BOY,2006,493.0
240,NOR,PISAMATH,BOY,2009,500.0
241,NOR,PISAMATH,BOY,2012,490.399
242,NOR,PISAMATH,BOY,2015,501.0
243,NOR,PISAMATH,BOY,2018,497.0
244,NOR,PISAMATH,GIRL,2003,492.0
245,NOR,PISAMATH,GIRL,2006,487.0
246,NOR,PISAMATH,GIRL,2009,495.0
247,NOR,PISAMATH,GIRL,2012,488.293
248,NOR,PISAMATH,GIRL,2015,503.0
249,NOR,PISAMATH,GIRL,2018,505.0
250,POL,PISAMATH,BOY,2003,493.0
251,POL,PISAMATH,BOY,2006,500.0
252,POL,PISAMATH,BOY,2009,497.0
253,POL,PISAMATH,BOY,2012,519.564
254,POL,PISAMATH,BOY,2015,510.0
255,POL,PISAMATH,BOY,2018,516.0
256,POL,PISAMATH,GIRL,2003,487.0
257,POL,PISAMATH,GIRL,2006,491.0
258,POL,PISAMATH,GIRL,2009,493.0
259,POL,PISAMATH,GIRL,2012,515.533
260,POL,PISAMATH,GIRL,2015,499.0
261,POL,PISAMATH,GIRL,2018,515.0
262,PRT,PISAMATH,BOY,2003,472.0
263,PRT,PISAMATH,BOY,2006,474.0
264,PRT,PISAMATH,BOY,2009,493.0
265,PRT,PISAMATH,BOY,2012,492.703
266,PRT,PISAMATH,BOY,2015,497.0
267,PRT,PISAMATH,BOY,2018,497.0
268,PRT,PISAMATH,GIRL,2003,460.0
269,PRT,PISAMATH,GIRL,2006,459.0
270,PRT,PISAMATH,GIRL,2009,481.0
271,PRT,PISAMATH,GIRL,2012,481.296
272,PRT,PISAMATH,GIRL,2015,487.0
273,PRT,PISAMATH,GIRL,2018,488.0
274,SVK,PISAMATH,BOY,2003,507.0
275,SVK,PISAMATH,BOY,2006,499.0
276,SVK,PISAMATH,BOY,2009,498.0
277,SVK,PISAMATH,BOY,2012,486.134
278,SVK,PISAMATH,BOY,2015,478.0
279,SVK,PISAMATH,BOY,2018,488.0
280,SVK,PISAMATH,GIRL,2003,489.0
281,SVK,PISAMATH,GIRL,2006,485.0
282,SVK,PISAMATH,GIRL,2009,495.0
283,SVK,PISAMATH,GIRL,2012,476.712
284,SVK,PISAMATH,GIRL,2015,472.0
285,SVK,PISAMATH,GIRL,2018,484.0
286,ESP,PISAMATH,BOY,2003,490.0
287,ESP,PISAMATH,BOY,2006,484.0
288,ESP,PISAMATH,BOY,2009,493.0
289,ESP,PISAMATH,BOY,2012,492.422
290,ESP,PISAMATH,BOY,2015,494.0
291,ESP,PISAMATH,BOY,2018,485.0
292,ESP,PISAMATH,GIRL,2003,481.0
293,ESP,PISAMATH,GIRL,2006,476.0
294,ESP,PISAMATH,GIRL,2009,474.0
295,ESP,PISAMATH,GIRL,2012,475.965
296,ESP,PISAMATH,GIRL,2015,478.0
297,ESP,PISAMATH,GIRL,2018,478.0
298,SWE,PISAMATH,BOY,2003,512.0
299,SWE,PISAMATH,BOY,2006,505.0
300,SWE,PISAMATH,BOY,2009,493.0
301,SWE,PISAMATH,BOY,2012,476.916
302,SWE,PISAMATH,BOY,2015,493.0
303,SWE,PISAMATH,BOY,2018,502.0
304,SWE,PISAMATH,GIRL,2003,506.0
305,SWE,PISAMATH,GIRL,2006,500.0
306,SWE,PISAMATH,GIRL,2009,495.0
307,SWE,PISAMATH,GIRL,2012,479.629
308,SWE,PISAMATH,GIRL,2015,495.0
309,SWE,PISAMATH,GIRL,2018,503.0
310,CHE,PISAMATH,BOY,2003,535.0
311,CHE,PISAMATH,BOY,2006,536.0
312,CHE,PISAMATH,BOY,2009,544.0
313,CHE,PISAMATH,BOY,2012,537.369
314,CHE,PISAMATH,BOY,2015,527.0
315,CHE,PISAMATH,BOY,2018,519.0
316,CHE,PISAMATH,GIRL,2003,518.0
317,CHE,PISAMATH,GIRL,2006,523.0
318,CHE,PISAMATH,GIRL,2009,524.0
319,CHE,PISAMATH,GIRL,2012,524.473
320,CHE,PISAMATH,GIRL,2015,515.0
321,CHE,PISAMATH,GIRL,2018,512.0
322,TUR,PISAMATH,BOY,2003,430.0
323,TUR,PISAMATH,BOY,2006,427.0
324,TUR,PISAMATH,BOY,2009,451.0
325,TUR,PISAMATH,BOY,2012,451.934
326,TUR,PISAMATH,BOY,2015,423.0
327,TUR,PISAMATH,BOY,2018,456.0
328,TUR,PISAMATH,GIRL,2003,415.0
329,TUR,PISAMATH,GIRL,2006,421.0
330,TUR,PISAMATH,GIRL,2009,440.0
331,TUR,PISAMATH,GIRL,2012,443.948
332,TUR,PISAMATH,GIRL,2015,418.0
333,TUR,PISAMATH,GIRL,2018,451.0
334,GBR,PISAMATH,BOY,2006,504.0
335,GBR,PISAMATH,BOY,2009,503.0
336,GBR,PISAMATH,BOY,2012,500.295
337,GBR,PISAMATH,BOY,2015,498.0
338,GBR,PISAMATH,BOY,2018,508.0
339,GBR,PISAMATH,GIRL,2006,487.0
340,GBR,PISAMATH,GIRL,2009,482.0
341,GBR,PISAMATH,GIRL,2012,487.815
342,GBR,PISAMATH,GIRL,2015,487.0
343,GBR,PISAMATH,GIRL,2018,496.0
344,USA,PISAMATH,BOY,2003,486.0
345,USA,PISAMATH,BOY,2006,479.0
346,USA,PISAMATH,BOY,2009,497.0
347,USA,PISAMATH,BOY,2012,483.647
348,USA,PISAMATH,BOY,2015,474.0
349,USA,PISAMATH,BOY,2018,482.0
350,USA,PISAMATH,GIRL,2003,480.0
351,USA,PISAMATH,GIRL,2006,470.0
352,USA,PISAMATH,GIRL,2009,477.0
353,USA,PISAMATH,GIRL,2012,478.995
354,USA,PISAMATH,GIRL,2015,465.0
355,USA,PISAMATH,GIRL,2018,474.0
356,BRA,PISAMATH,BOY,2003,365.0
357,BRA,PISAMATH,BOY,2006,380.0
358,BRA,PISAMATH,BOY,2009,394.0
359,BRA,PISAMATH,BOY,2012,400.769
360,BRA,PISAMATH,BOY,2015,385.0
361,BRA,PISAMATH,BOY,2018,388.0
362,BRA,PISAMATH,GIRL,2003,348.0
363,BRA,PISAMATH,GIRL,2006,361.0
364,BRA,PISAMATH,GIRL,2009,379.0
365,BRA,PISAMATH,GIRL,2012,382.925
366,BRA,PISAMATH,GIRL,2015,370.0
367,BRA,PISAMATH,GIRL,2018,379.0
368,CHL,PISAMATH,BOY,2006,424.0
369,CHL,PISAMATH,BOY,2009,431.0
370,CHL,PISAMATH,BOY,2012,435.525
371,CHL,PISAMATH,BOY,2015,432.0
372,CHL,PISAMATH,BOY,2018,421.0
373,CHL,PISAMATH,GIRL,2006,396.0
374,CHL,PISAMATH,GIRL,2009,410.0
375,CHL,PISAMATH,GIRL,2012,410.543
376,CHL,PISAMATH,GIRL,2015,413.0
377,CHL,PISAMATH,GIRL,2018,414.0
378,EST,PISAMATH,BOY,2006,515.0
379,EST,PISAMATH,BOY,2009,516.0
380,EST,PISAMATH,BOY,2012,523.214
381,EST,PISAMATH,BOY,2015,522.0
382,EST,PISAMATH,BOY,2018,528.0
383,EST,PISAMATH,GIRL,2006,514.0
384,EST,PISAMATH,GIRL,2009,508.0
385,EST,PISAMATH,GIRL,2012,517.93
386,EST,PISAMATH,GIRL,2015,517.0
387,EST,PISAMATH,GIRL,2018,519.0
388,IDN,PISAMATH,BOY,2003,362.0
389,IDN,PISAMATH,BOY,2006,399.0
390,IDN,PISAMATH,BOY,2009,371.0
391,IDN,PISAMATH,BOY,2012,377.376
392,IDN,PISAMATH,BOY,2015,385.0
393,IDN,PISAMATH,BOY,2018,374.0
394,IDN,PISAMATH,GIRL,2003,358.0
395,IDN,PISAMATH,GIRL,2006,382.0
396,IDN,PISAMATH,GIRL,2009,372.0
397,IDN,PISAMATH,GIRL,2012,372.785
398,IDN,PISAMATH,GIRL,2015,387.0
399,IDN,PISAMATH,GIRL,2018,383.0
400,ISR,PISAMATH,BOY,2006,448.0
401,ISR,PISAMATH,BOY,2009,451.0
402,ISR,PISAMATH,BOY,2012,472.398
403,ISR,PISAMATH,BOY,2015,474.0
404,ISR,PISAMATH,BOY,2018,458.0
405,ISR,PISAMATH,GIRL,2006,436.0
406,ISR,PISAMATH,GIRL,2009,443.0
407,ISR,PISAMATH,GIRL,2012,460.749
408,ISR,PISAMATH,GIRL,2015,466.0
409,ISR,PISAMATH,GIRL,2018,467.0
410,RUS,PISAMATH,BOY,2003,473.0
411,RUS,PISAMATH,BOY,2009,469.0
412,RUS,PISAMATH,BOY,2012,481.394
413,RUS,PISAMATH,BOY,2015,497.0
414,RUS,PISAMATH,BOY,2018,490.0
415,RUS,PISAMATH,GIRL,2003,463.0
416,RUS,PISAMATH,GIRL,2009,467.0
417,RUS,PISAMATH,GIRL,2012,482.944
418,RUS,PISAMATH,GIRL,2015,491.0
419,RUS,PISAMATH,GIRL,2018,485.0
420,SVN,PISAMATH,BOY,2006,507.0
421,SVN,PISAMATH,BOY,2009,502.0
422,SVN,PISAMATH,BOY,2012,502.748
423,SVN,PISAMATH,BOY,2015,512.0
424,SVN,PISAMATH,BOY,2018,509.0
425,SVN,PISAMATH,GIRL,2006,502.0
426,SVN,PISAMATH,GIRL,2009,501.0
427,SVN,PISAMATH,GIRL,2012,499.387
428,SVN,PISAMATH,GIRL,2015,508.0
429,SVN,PISAMATH,GIRL,2018,509.0
430,OAVG,PISAMATH,BOY,2003,505.333
431,OAVG,PISAMATH,BOY,2006,499.706
432,OAVG,PISAMATH,BOY,2009,501.382
433,OAVG,PISAMATH,BOY,2012,499.421
434,OAVG,PISAMATH,BOY,2015,494.0
435,OAVG,PISAMATH,BOY,2018,492.0
436,OAVG,PISAMATH,GIRL,2003,494.833
437,OAVG,PISAMATH,GIRL,2006,488.588
438,OAVG,PISAMATH,GIRL,2009,489.794
439,OAVG,PISAMATH,GIRL,2012,488.551
440,OAVG,PISAMATH,GIRL,2015,486.0
441,OAVG,PISAMATH,GIRL,2018,487.0
442,LVA,PISAMATH,BOY,2015,481.0
443,LVA,PISAMATH,BOY,2018,500.0
444,LVA,PISAMATH,GIRL,2015,483.0
445,LVA,PISAMATH,GIRL,2018,493.0
446,AUS,PISAMATH,TOT,2003,524.0
447,AUS,PISAMATH,TOT,2006,520.0
448,AUS,PISAMATH,TOT,2009,514.0
449,AUS,PISAMATH,TOT,2012,504.0
450,AUS,PISAMATH,TOT,2015,494.0
451,AUS,PISAMATH,TOT,2018,491.0
452,AUT,PISAMATH,TOT,2003,506.0
453,AUT,PISAMATH,TOT,2006,505.0
454,AUT,PISAMATH,TOT,2012,506.0
455,AUT,PISAMATH,TOT,2015,497.0
456,AUT,PISAMATH,TOT,2018,499.0
457,BEL,PISAMATH,TOT,2003,529.0
458,BEL,PISAMATH,TOT,2006,520.0
459,BEL,PISAMATH,TOT,2009,515.0
460,BEL,PISAMATH,TOT,2012,515.0
461,BEL,PISAMATH,TOT,2015,507.0
462,BEL,PISAMATH,TOT,2018,508.0
463,CAN,PISAMATH,TOT,2003,532.0
464,CAN,PISAMATH,TOT,2006,527.0
465,CAN,PISAMATH,TOT,2009,527.0
466,CAN,PISAMATH,TOT,2012,518.0
467,CAN,PISAMATH,TOT,2015,516.0
468,CAN,PISAMATH,TOT,2018,512.0
469,CZE,PISAMATH,TOT,2003,516.0
470,CZE,PISAMATH,TOT,2006,510.0
471,CZE,PISAMATH,TOT,2009,493.0
472,CZE,PISAMATH,TOT,2012,499.0
473,CZE,PISAMATH,TOT,2015,492.0
474,CZE,PISAMATH,TOT,2018,499.0
475,DNK,PISAMATH,TOT,2003,514.0
476,DNK,PISAMATH,TOT,2006,513.0
477,DNK,PISAMATH,TOT,2009,503.0
478,DNK,PISAMATH,TOT,2012,500.0
479,DNK,PISAMATH,TOT,2015,511.0
480,DNK,PISAMATH,TOT,2018,509.0
481,FIN,PISAMATH,TOT,2003,544.0
482,FIN,PISAMATH,TOT,2006,548.0
483,FIN,PISAMATH,TOT,2009,541.0
484,FIN,PISAMATH,TOT,2012,519.0
485,FIN,PISAMATH,TOT,2015,511.0
486,FIN,PISAMATH,TOT,2018,507.0
487,FRA,PISAMATH,TOT,2003,511.0
488,FRA,PISAMATH,TOT,2006,496.0
489,FRA,PISAMATH,TOT,2009,497.0
490,FRA,PISAMATH,TOT,2012,495.0
491,FRA,PISAMATH,TOT,2015,493.0
492,FRA,PISAMATH,TOT,2018,495.0
493,DEU,PISAMATH,TOT,2003,503.0
494,DEU,PISAMATH,TOT,2006,504.0
495,DEU,PISAMATH,TOT,2009,513.0
496,DEU,PISAMATH,TOT,2012,514.0
497,DEU,PISAMATH,TOT,2015,506.0
498,DEU,PISAMATH,TOT,2018,500.0
499,GRC,PISAMATH,TOT,2003,445.0
500,GRC,PISAMATH,TOT,2006,459.0
501,GRC,PISAMATH,TOT,2009,466.0
502,GRC,PISAMATH,TOT,2012,453.0
503,GRC,PISAMATH,TOT,2015,454.0
504,GRC,PISAMATH,TOT,2018,451.0
505,HUN,PISAMATH,TOT,2003,490.0
506,HUN,PISAMATH,TOT,2006,491.0
507,HUN,PISAMATH,TOT,2009,490.0
508,HUN,PISAMATH,TOT,2012,477.0
509,HUN,PISAMATH,TOT,2015,477.0
510,HUN,PISAMATH,TOT,2018,481.0
511,ISL,PISAMATH,TOT,2003,515.0
512,ISL,PISAMATH,TOT,2006,506.0
513,ISL,PISAMATH,TOT,2009,507.0
514,ISL,PISAMATH,TOT,2012,493.0
515,ISL,PISAMATH,TOT,2015,488.0
516,ISL,PISAMATH,TOT,2018,495.0
517,IRL,PISAMATH,TOT,2003,503.0
518,IRL,PISAMATH,TOT,2006,501.0
519,IRL,PISAMATH,TOT,2009,487.0
520,IRL,PISAMATH,TOT,2012,501.0
521,IRL,PISAMATH,TOT,2015,504.0
522,IRL,PISAMATH,TOT,2018,500.0
523,ITA,PISAMATH,TOT,2003,466.0
524,ITA,PISAMATH,TOT,2006,462.0
525,ITA,PISAMATH,TOT,2009,483.0
526,ITA,PISAMATH,TOT,2012,485.0
527,ITA,PISAMATH,TOT,2015,490.0
528,ITA,PISAMATH,TOT,2018,487.0
529,JPN,PISAMATH,TOT,2003,534.0
530,JPN,PISAMATH,TOT,2006,523.0
531,JPN,PISAMATH,TOT,2009,529.0
532,JPN,PISAMATH,TOT,2012,536.0
533,JPN,PISAMATH,TOT,2015,532.0
534,JPN,PISAMATH,TOT,2018,527.0
535,KOR,PISAMATH,TOT,2003,542.0
536,KOR,PISAMATH,TOT,2006,547.0
537,KOR,PISAMATH,TOT,2009,546.0
538,KOR,PISAMATH,TOT,2012,554.0
539,KOR,PISAMATH,TOT,2015,524.0
540,KOR,PISAMATH,TOT,2018,526.0
541,LUX,PISAMATH,TOT,2003,493.0
542,LUX,PISAMATH,TOT,2006,490.0
